iteration	commit	status	primary_metric_name	primary_metric_value	description
12	e5d6d4548fe4	rejected	weighted_median_neigh_seconds	0.31003	Extend the incumbent `NPairBin<1,1,0,0,0>::build()` hot path with additional neighbor-array aliasing, one-time neighbor coordinate/tag/molecule caching, and cached half-box minimum-image checks [Correctness held and weighted_median_neigh_seconds improved to 0.31003, but the -0.47% gain versus incumbent missed the benchmark contract’s 2.0% promotion threshold.]
13	7adf3bfc72a8	rejected	weighted_median_neigh_seconds	0.31711	Replace the incumbent molecular/no-exclusion `NPairBin<1,1,0,0,0>::build()` special handling with a direct encoded-two-special tag lookup path when `nspecial[i][2] <= 2`, bypassing the hot `molecule[j]`/`find_special()` path for non-matching neighbors while preserving the incumbent fallback and ghost minimum-image behavior. [Correctness held, but the candidate regressed weighted_median_neigh_seconds from 0.31150 to 0.31711 (+1.80% vs incumbent), so 8c29b124a2c68bbc7efea2fbd01f26b5ad40288a remains incumbent.]
14	e536920bfbe5	rejected	weighted_median_neigh_seconds	0.30666	Add explicit `jnext` traversal and light next-neighbor coordinate prefetching to the incumbent `NPairBin<1,1,0,0,0>::build()` hot path, alongside local `_noalias` aliases for bin traversal arrays, while preserving the accepted single-path molecular/no-exclusion logic. [Correct and faster at 0.30666 neigh seconds, but the 1.55% gain versus incumbent 8c29b124a2c68bbc7efea2fbd01f26b5ad40288a misses the 2.0% promotion gate.]
15	e5eef089d2d0	rejected	weighted_median_neigh_seconds	0.30618	Combine explicit jnext traversal and next-neighbor coordinate prefetching with cached periodic half-box checks, bin-array noalias aliases, and per-neighbor coordinate/tag/molecule caching in the incumbent NPairBin&lt;1,1,0,0,0&gt; hot path [Correctness held and weighted_median_neigh_seconds improved to 0.30618, but the 1.71% gain versus incumbent missed the benchmark contract’s 2.0% promotion threshold.]
16	d5b0238dc967	rejected	weighted_median_neigh_seconds	0.30551	Refine the single-path molecular half/bin/newton builder in src/npair_bin.cpp with explicit jnext traversal, x-only next-neighbor prefetch, cached half-box minimum-image checks, bin/list _noalias aliases, and delayed generic-only setup after the fast-path return [Correctness held and weighted_median_neigh_seconds improved to 0.30551, but the 1.92% gain versus incumbent missed the 2.0% promotion threshold.]
17	4a9dda87cf45	rejected	weighted_median_neigh_seconds	0.30695	Combine iteration-16 style `NPairBin<1,1,0,0,0>` jnext/prefetch/half-box fast-path refinements with contiguous `Neighbor` `xhold` copy and `check_distance()` alias cleanup [Correctness passed and weighted_median_neigh_seconds improved to 0.30695, but the 1.46% gain versus incumbent missed the benchmark contract’s 2.0% promotion threshold.]
18	08f5ab4a4e02	accepted	weighted_median_neigh_seconds	0.29094	Use explicit `jnext` linked-list traversal with bin/list `_noalias` aliases and delayed generic-only setup in the incumbent `NPairBin<1,1,0,0,0>` fast path [Correctness passed and weighted_median_neigh_seconds dropped from 0.31150 to 0.29094 (-6.60% vs incumbent), comfortably clearing the 2.0% promotion gate.]
19	11db74893452	accepted	weighted_median_neigh_seconds	0.28487	Optimize Neighbor movement tracking by scanning contiguous x/xhold arrays in check_distance() and bulk-copying xhold in build() while keeping the incumbent npair_bin fast path unchanged [Correctness held and weighted_median_neigh_seconds improved from 0.29094 to 0.28487 (-2.09% vs incumbent), clearing the 2.0% promotion gate.]
20	11db74893452	worker_incomplete	weighted_median_neigh_seconds	nan	optimize iteration 20 [worker loop did not finish cleanly: incomplete_max_iterations]
21	e35c58b86e07	rejected	weighted_median_neigh_seconds	0.28995	Widen Neighbor::check_distance() to 8-atom unrolled blocks and compare one blockwise max displacement squared against deltasq, keeping the incumbent semantics while reducing hot-loop branch frequency [Correctness held, but weighted_median_neigh_seconds regressed from 0.28487 to 0.28995 (+1.78% vs incumbent), so 11db74893452 remains incumbent.]
22	708f9b2d16b1	rejected	weighted_median_neigh_seconds	0.28503	Specialize the incumbent `NPairBin<1,1,0,0,0>::build()` fast path for all-zero special-bond weights so same-molecule pairs use a cheaper boolean special-neighbor membership test while preserving the existing different-molecule accept path and periodic-image ghost handling. [Correctness held, but the all-zero special-neighbor fast path slightly regressed `weighted_median_neigh_seconds` from 0.28487 to 0.28503, so incumbent `11db748934527306a5e9d2d8c0c51eb47b03158a` stays.]
23	a3f1052997d8	rejected	weighted_median_neigh_seconds	0.28469	Add a runtime uniform-cutoff fast path to the specialized `NPairBin<1,1,0,0,0>` molecular/no-exclusion builder so equal-cutoff systems skip per-pair `type[j]` and cutoff-matrix loads, while retaining the local Neighbor cadence cleanups that compiled and smoked correctly. [Correctness held, but the candidate’s 0.06% improvement to 0.28469 `weighted_median_neigh_seconds` is far below the 2.0% promotion threshold, so incumbent `11db74893452` stays.]
24	84babbbb36e3	rejected	weighted_median_neigh_seconds	0.49372	Add an axis-aligned early reject in the specialized `NPairBin<1,1,0,0,0>` fast path so pairs exceeding `neighbor->cuttype[itype]` on any single coordinate skip the `type[j]` load and full squared-distance check. [Correctness held, but the axis-aligned early-reject path regressed weighted_median_neigh_seconds from 0.28487 to 0.49372 (+73.31% vs incumbent), so the incumbent stays.]
25	b78acabc90a5	rejected	weighted_median_neigh_seconds	0.28592	Isolate the iteration-23 Neighbor cadence fast-check by caching the benchmark-common every=1/delay=0/dist_check=yes no-box path in Neighbor::decide()/check_distance() without any accompanying npair_bin specialization [Correctness held, but the isolated Neighbor cadence-cache path regressed weighted_median_neigh_seconds versus incumbent and missed the 2.0% promotion gate.]
26	ba18979d7807	rejected	weighted_median_neigh_seconds	0.28444	Add a benchmark-common `NPairBin<1,1,0,0,0>` fast path for the uniform-cutoff plus all-special-encoded case, using encoded-special lookup and pointer-style neighbor writes to remove generic cutoff and special-flag work from the hot loop. [Correctness passed, but the candidate’s weighted_median_neigh_seconds improved only 0.15% versus incumbent, far below the 2.0% promotion threshold.]
27	321fb756a836	rejected	weighted_median_neigh_seconds	0.28559	Cache j-side neighbor coords/tag/molecule once and inline orthogonal half-box minimum-image checks in the specialized NPairBin&lt;1,1,0,0,0&gt; molecular/no-exclusion fast path [Correctness held, but weighted_median_neigh_seconds regressed 0.25% versus incumbent and missed the 2.0% promotion gate.]
